p,n,prime_count,duration_ns
1,2,1,72
1,3,2,95572
1,4,2,97382
1,5,3,102780
1,6,3,97432
1,7,4,88701
1,8,4,70463
1,9,4,62925
1,10,4,60148
1,11,5,59224
1,12,5,58530
1,13,6,58722
1,14,6,64411
1,15,6,62909
1,16,6,63206
1,17,7,63445
1,18,7,64263
1,19,8,62954
1,20,8,64980
1,21,8,65920
1,22,8,67277
1,23,9,62640
1,24,9,64571
1,25,9,67305
1,26,9,61253
1,27,9,64552
1,28,9,64250
1,29,10,62864
1,30,10,65332
1,31,11,81555
1,32,11,67083
1,33,11,63350
1,34,11,64024
1,35,11,65130
1,36,11,67296
1,37,12,65064
1,38,12,62533
1,39,12,64678
1,40,12,62271
1,41,13,59236
1,42,13,61995
1,43,14,62664
1,44,14,63513
1,45,14,66068
1,46,14,70032
1,47,15,65778
1,48,15,65294
1,49,15,80005
1,50,15,65612
1,51,15,62201
1,52,15,61547
1,53,16,64442
1,54,16,60645
1,55,16,64888
1,56,16,62485
1,57,16,65122
1,58,16,78525
1,59,17,65814
1,60,17,63796
1,61,18,68797
1,62,18,62766
1,63,18,59917
1,64,18,63455
1,65,18,61489
1,66,18,60349
1,67,19,64862
1,68,19,62292
1,69,19,67165
1,70,19,58581
1,71,20,62072
1,72,20,59369
1,73,21,59130
1,74,21,60195
1,75,21,61398
1,76,21,58115
1,77,21,61935
1,78,21,60389
1,79,22,61105
1,80,22,58937
1,81,22,58885
1,82,22,66206
1,83,23,58168
1,84,23,65421
1,85,23,61124
1,86,23,67767
1,87,23,62460
1,88,23,62593
1,89,24,61024
1,90,24,61801
1,91,24,57042
1,92,24,64717
1,93,24,60670
1,94,24,60313
1,95,24,58328
1,96,24,62071
1,97,25,65515
1,98,25,69405
1,99,25,66019
1,100,25,57876
1,101,26,61271
1,102,26,64943
1,103,27,62612
1,104,27,61925
1,105,27,64446
1,106,27,66688
1,107,28,65117
1,108,28,66886
1,109,29,62382
1,110,29,76928
1,111,29,73351
1,112,29,66133
1,113,30,67093
1,114,30,67597
1,115,30,64793
1,116,30,66495
1,117,30,66632
1,118,30,67202
1,119,30,66040
1,120,30,69306
1,121,30,69988
1,122,30,70424
1,123,30,66671
1,124,30,63980
1,125,30,67769
1,126,30,69715
1,127,31,66844
1,128,31,62209
1,129,31,70820
1,130,31,68582
1,131,32,78501
1,132,32,67723
1,133,32,65944
1,134,32,63755
1,135,32,68327
