p,n,prime_count,duration_ns
1,2,1,71
1,3,2,94066
1,4,2,81407
1,5,3,103023
1,6,3,110829
1,7,4,102013
1,8,4,66959
1,9,4,62003
1,10,4,61885
1,11,5,60405
1,12,5,59405
1,13,6,59022
1,14,6,65237
1,15,6,59268
1,16,6,62678
1,17,7,63746
1,18,7,62770
1,19,8,60498
1,20,8,63061
1,21,8,60944
1,22,8,60923
1,23,9,62849
1,24,9,62042
1,25,9,65585
1,26,9,79199
1,27,9,63155
1,28,9,66350
1,29,10,71462
1,30,10,60058
1,31,11,64165
1,32,11,68284
1,33,11,64564
1,34,11,61416
1,35,11,61616
1,36,11,66949
1,37,12,60245
1,38,12,64869
1,39,12,83164
1,40,12,71218
1,41,13,64603
1,42,13,66293
1,43,14,66369
1,44,14,61684
1,45,14,62091
1,46,14,60247
1,47,15,64785
1,48,15,60423
1,49,15,78967
1,50,15,60646
1,51,15,61012
1,52,15,62230
1,53,16,63796
1,54,16,62497
1,55,16,65754
1,56,16,60660
1,57,16,63289
1,58,16,64748
1,59,17,60154
1,60,17,61662
1,61,18,63971
1,62,18,64989
1,63,18,65952
1,64,18,62591
1,65,18,60297
1,66,18,60863
1,67,19,61007
1,68,19,63134
1,69,19,64259
1,70,19,63057
1,71,20,62969
1,72,20,60354
1,73,21,62365
1,74,21,65606
1,75,21,62658
1,76,21,59544
1,77,21,65488
1,78,21,60569
1,79,22,61337
1,80,22,59290
1,81,22,59785
1,82,22,61232
1,83,23,60394
1,84,23,59970
1,85,23,59893
1,86,23,63914
1,87,23,63644
1,88,23,60971
1,89,24,64908
1,90,24,65026
1,91,24,60518
1,92,24,65928
1,93,24,63947
1,94,24,61528
1,95,24,61476
1,96,24,60732
1,97,25,67047
1,98,25,61667
1,99,25,60112
1,100,25,58986
1,101,26,61929
1,102,26,60786
1,103,27,61981
1,104,27,63150
1,105,27,63139
1,106,27,63895
1,107,28,65833
1,108,28,61704
1,109,29,61838
1,110,29,66816
1,111,29,64120
1,112,29,66722
1,113,30,65932
1,114,30,64033
1,115,30,62604
1,116,30,62118
1,117,30,64973
1,118,30,67218
1,119,30,63106
1,120,30,75769
1,121,30,64944
1,122,30,63057
1,123,30,84521
1,124,30,71857
1,125,30,75361
1,126,30,56354
1,127,31,62745
1,128,31,65038
1,129,31,73771
1,130,31,67712
1,131,32,77657
1,132,32,60587
1,133,32,63669
1,134,32,65849
1,135,32,62809
1,136,32,63097
1,137,33,64015
1,138,33,63556
1,139,34,62784
1,140,34,60617
1,141,34,63772
1,142,34,58388
1,143,34,61731
1,144,34,57482
1,145,34,59391
1,146,34,63938
1,147,34,59118
1,148,34,63336
1,149,35,62305
1,150,35,78671
