p,n,prime_count,duration_ns
1,2,1,72
1,3,2,100175
1,4,2,91700
1,5,3,98934
1,6,3,96181
1,7,4,89861
1,8,4,66585
1,9,4,63593
1,10,4,74794
1,11,5,66944
1,12,5,65547
1,13,6,60551
1,14,6,61759
1,15,6,61283
1,16,6,58721
1,17,7,60238
1,18,7,58057
1,19,8,57630
1,20,8,60642
1,21,8,60614
1,22,8,62593
1,23,9,60738
1,24,9,76671
1,25,9,68845
1,26,9,78266
1,27,9,59276
1,28,9,65376
1,29,10,60516
1,30,10,65929
1,31,11,63158
1,32,11,64190
1,33,11,60308
1,34,11,60965
1,35,11,58352
1,36,11,62740
1,37,12,81770
1,38,12,68619
1,39,12,95788
1,40,12,70539
1,41,13,63766
1,42,13,62210
1,43,14,66233
1,44,14,61095
1,45,14,58118
1,46,14,60656
1,47,15,63161
1,48,15,63369
1,49,15,80319
1,50,15,60951
1,51,15,69909
1,52,15,66944
1,53,16,66828
1,54,16,67575
1,55,16,65056
1,56,16,61986
1,57,16,59642
1,58,16,59691
1,59,17,57632
1,60,17,56458
1,61,18,78730
1,62,18,58330
1,63,18,56624
1,64,18,62689
1,65,18,58799
1,66,18,74671
1,67,19,66894
1,68,19,66447
1,69,19,59602
1,70,19,58595
1,71,20,62169
1,72,20,61781
1,73,21,63760
1,74,21,60131
1,75,21,62614
1,76,21,58669
1,77,21,70981
1,78,21,63032
1,79,22,66361
1,80,22,69554
1,81,22,60794
1,82,22,56626
1,83,23,64754
1,84,23,64806
1,85,23,59725
1,86,23,66282
1,87,23,62709
1,88,23,61390
1,89,24,61850
1,90,24,62770
1,91,24,59111
1,92,24,64277
1,93,24,60850
1,94,24,61262
1,95,24,66608
1,96,24,64229
1,97,25,64002
1,98,25,82749
1,99,25,63985
1,100,25,61806
1,101,26,59306
1,102,26,60722
1,103,27,60478
1,104,27,60882
1,105,27,63519
1,106,27,66136
1,107,28,59582
1,108,28,69254
1,109,29,69108
1,110,29,68591
1,111,29,67050
1,112,29,67656
1,113,30,68620
1,114,30,66596
1,115,30,63907
1,116,30,66092
1,117,30,63619
1,118,30,70447
1,119,30,64930
1,120,30,61597
1,121,30,67988
1,122,30,74426
1,123,30,69172
1,124,30,69795
1,125,30,84815
1,126,30,68826
1,127,31,65289
1,128,31,67096
1,129,31,64822
1,130,31,68268
1,131,32,69992
1,132,32,63031
1,133,32,63994
1,134,32,61795
1,135,32,66590
1,136,32,70772
1,137,33,67666
1,138,33,65570
1,139,34,63063
1,140,34,66436
1,141,34,63656
1,142,34,57529
1,143,34,63454
1,144,34,58161
1,145,34,59770
1,146,34,62115
1,147,34,58241
1,148,34,64918
1,149,35,62202
1,150,35,66838
1,151,36,63463
1,152,36,66474
1,153,36,65289
1,154,36,64546
1,155,36,88283
1,156,36,73296
1,157,37,73260
1,158,37,66909
1,159,37,69528
1,160,37,66106
1,161,37,58935
1,162,37,65443
1,163,38,81736
1,164,38,66025
1,165,38,72660
1,166,38,62266
1,167,39,61648
1,168,39,62561
1,169,39,61104
1,170,39,60189
1,171,39,60713
1,172,39,59314
1,173,40,62609
1,174,40,61139
1,175,40,65961
1,176,40,63640
1,177,40,67835
1,178,40,68173
1,179,41,68646
1,180,41,65025
1,181,42,63769
1,182,42,61696
1,183,42,62815
1,184,42,60295
1,185,42,60124
1,186,42,61856
1,187,42,57624
1,188,42,64402
1,189,42,57496
1,190,42,60196
1,191,43,63058
1,192,43,67382
1,193,44,68031
1,194,44,61929
1,195,44,65317
1,196,44,68622
1,197,45,61420
1,198,45,58772
1,199,46,68305
1,200,46,61390
1,201,46,64315
1,202,46,61081
1,203,46,59974
1,204,46,62411
1,205,46,66719
1,206,46,66421
1,207,46,65481
1,208,46,59518
1,209,46,60859
1,210,46,54591
1,211,47,63377
1,212,47,58275
1,213,47,59046
1,214,47,62238
1,215,47,59871
1,216,47,60085
1,217,47,58495
1,218,47,61535
1,219,47,61513
1,220,47,58548
1,221,47,68777
1,222,47,62401
1,223,48,62506
1,224,48,63444
1,225,48,60401
1,226,48,64701
1,227,49,63159
1,228,49,61183
1,229,50,61038
1,230,50,56147
1,231,50,60344
1,232,50,58712
1,233,51,59716
1,234,51,64189
1,235,51,65558
1,236,51,60721
1,237,51,63494
1,238,51,63428
1,239,52,61521
1,240,52,61733
1,241,53,63617
1,242,53,61037
1,243,53,62200
1,244,53,61663
1,245,53,58633
1,246,53,64431
1,247,53,64453
1,248,53,60151
1,249,53,59513
1,250,53,65066
1,251,54,61749
